Alias,Definition,Context,Context Description
508_Compliant,"508 compliant refers to adherence to Section 508 of the Rehabilitation Act, which requires that electronic and information technology developed, maintained, procured, or used by federal agencies be accessible to people with disabilities. This ensures that individuals with disabilities have comparable access to and use of information and data as those without disabilities.",p2881_learning_resource,placeholder
Accredited_By,"Accredited by refers to the official recognition or endorsement given to an institution, program, or individual by a recognized accrediting body. This accreditation signifies that the entity meets certain standards of quality and excellence. For example, a university might be accredited by a regional accrediting agency, or a professional certification program might be accredited by an industry association.",p2881_course_profile,placeholder
activity,"Any generic activity an actor can interact with, that is not an assessment",TLA Profile,ActivityType
AFSC,"An Air Force Specialty Code (AFSC) is an alphanumeric code used by the United States Air Force to identify specific jobs and career fields. Each code provides detailed information about the job’s category, specialty, and skill level.",Target_Audience,placeholder
AFSC_Series,"An AFSC Series refers to a group of related Air Force Specialty Codes (AFSCs) that fall within the same career field or occupational area. Each series encompasses various specific jobs or specialties that share common skills and responsibilities. For example, the 1N series includes different intelligence-related AFSCs, such as cryptologic linguist and geospatial intelligence.",Target_Audience,placeholder
After Action Review,Activities of this type represent an After Action Review in which an instructor reviews the performance of the learner(s),Example Flight Simulation Profile,ActivityType
Alert,Represents any kind of significant notification,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Application,Represents any kind of software application.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
application,Represents any kind of software application.,Activity Streams Vocabulary,ActivityType
Application,Any software application that performs specific functions.,Performance Support Profile,The Performance Support Profile was created to identify and standardize the common types of performance support concepts and interactions that can be tracked with xAPI.
application,Any software application that performs specific functions.,Performance Support Profile,ActivityType
area,An identified area inside the game world. In some games they can also be worlds. Represents an aggregation of zones.,Serious Games Profile,ActivityType
Article,"Represents objects such as news articles, knowledge base entries, or other similar construct. Such objects generally consist of paragraphs of text, in some cases incorporating embedded media such as photos and inline hyperlinks to other resources.
",Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Article,"Represents objects such as news articles, knowledge base entries, or other similar construct. Such objects generally consist of paragraphs of text, in some cases incorporating embedded media such as photos and inline hyperlinks to other resources.
",Social Media,A profile containing terms for describing the publication of and interactions with content delivered through collaborative tools and social media platforms. It is intended in part to provide an alternative to parts of the deprecated Activity Streams V1.0 vocabulary used previously.
Assess,"Assesses means to evaluate or judge the value, quality, importance, or extent of something. This process involves examining and analyzing information to make an informed decision or judgment.",p2881-core,placeholder
Assessment,An assessment is an activity that determines a learner's mastery of a particular subject area. An assessment typically has one or more questions.,SCORM Profile,"The SCORM profile includes Verbs, Activity Types and xAPI Document definitions used to represent SCORM learning experiences in xAPI."
assessment,An assessment is an activity type that determines a learner’s mastery of a particular subject area. An assessment typically has one or more questions.,SCORM Profile,ActivityType
Assessment,Any generic exercise that assesses the user's level of competence.,TLA Profile,"The TLA profile includes Verbs, Activity Types, Extensions, and xAPI document definitions used to represent distributed learning experiences in xAPI."
assessment,Any generic exercise that assesses the user's level of competence.,TLA Profile,ActivityType
attempt,An attempt is a discrete set of learner experiences in an activity. This activity gives systems the ability to uniquely identify experiences when they may have happened in different interactions with the same activity.,SCORM Profile,ActivityType
Audience,The audience is a group of people who are the intended recipients of a learning resource or a learning event.,Target_Audience,placeholder
Audio,Represents audio content of any kind. Objects of this type MAY contain an additional property as specified in Section 3.1.,Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
Audio,A recording of audio content,Audio Profile,The audio profile of the xAPI was created to identify and standardize the common types of interactions that can be tracked in any audio player.
audio_1,Represents audio content of any kind. Objects of this type MAY contain an additional property as specified in Section 3.1.,Activity Streams Vocabulary,ActivityType
Audio_Transcript,"An audio transcript is a written or typed version of the spoken content from an audio recording, meeting, or video. It captures the dialogue and any relevant sounds, providing a text-based record that can be reviewed, shared, or archived.",p2881_technical_information,placeholder
Badge,Represents a badge or award granted to an object (typically a person object),Activity Streams Vocabulary,An Activity type used when leveraging the activity stream xAPI profile. 
badge,Represents a badge or award granted to an object (typically a person object).,Activity Streams Vocabulary,ActivityType
Badge,An online badge that is earned after achieving multiple related competencies,TLA Profile,"The TLA profile includes Verbs, Activity Types, Extensions, and xAPI document definitions used to represent distributed learning experiences in xAPI."
badge_1,An online badge that is earned after achieving multiple related competencies,TLA Profile,ActivityType
Binary,"Objects of this type are used to carry arbitrary Base64-encoded binary data within an Activity Stream object. It is primarily intended to attach binary data to other types of objects through the use of the attachments property. Objects of this type will contain the additional properties specified in Section 3.2. This activity type is included for data conversion with Activity Streams, it's not recommended for use in new Tin Can statements.",Activity Streams Vocabulary,placeholder
Bitrate,"Bitrate refers to the amount of data processed or transmitted per unit of time, typically measured in bits per second (bps). In the context of audio and video, a higher bitrate generally means better quality, as more data is used to represent the media.",p2881_technical_information,placeholder
block,A block is a grouping unit in a hiearchical (tree) structure representing a course with Assignable Units as the lowest descendant (leaves).  Each block must contain at least one Assignable Unit descendant.  Progress (completion/success) for each block is rolled up in to complete a higher level block.,cmi5 Profile,ActivityType
Blog,"A regularly updated website or web page, typically one authored by an individual or small group, that is written in an informal or conversational style.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
Book,"A book, generally paper, but could also be an ebook. The Activity's ID will often include an ISBN though it is not required. The Definition can likely leverage the ISBN extension, 'http://id.tincanapi.com/extension/isbn', if known.",TinCan Vocabulary,A list of vocabulary concepts originally created in the TinCan registry.
