sentence1,sentence2,label
"The date the instruction ends and the resources are no longer accessible","""specific date when a course officially ends, marking the point where course materials are no longer available and students can no longer interact with them""","entailment"
"The amount of calendar time necessary to complete the resource","Whether the resource has a specific certificate applied to it","unrelated"
"The modality in which the resource is shown to the audience","""collection of attributes of a resource having to do with student activity, instructor involvement, timing, and specific components.""","contradiction"
"The topics the resource covers","""Language used in this resource's subtitles, wherever applicable""","unrelated"
"Necessary resources or skills prior needed prior to taking this resource","specific conditions that must be met before the course is available","contradiction"
"intended actors this resource is for","Actors and attributes of actors that align with the course","entailment"
"specific and resolvable link to the resource within a specific catalog","Link an actor uses to access the course","entailment"
"actor that accredited the resource","Names of skills that are taught by this resource","unrelated"
"resolvable link to an image that exemplifies the resource","resolvable link to an image that exemplifies the resource","entailment"
"The date the instruction begins and the resources are accessible","""specific date when a course officially begins, marking the point where new course materials are released and students can actively start engaging with the learning content ""","entailment"
"The name of the system on which this course is located","Original system where this resource was released","entailment"
"Actor responsible for handing communication about this resource","Number of actors that are actively taking the resource.  Likely defined as post-enrollment but pre-completion or pre-expiration.","unrelated"
"Actor that owns the resource","contributor of the resource through a partnership","unrelated"
"A physical or virtual location where the resource resides","An original cluster of content that is accessible via URL","unrelated"
"the proper name of this resource","The name given to the course by its creator","entailment"
"A unique identifier for the course within its catalog","Unique identifier of this course in its native catalog","entailment"
"summary of the course","Text that describes the course for purposes of summarization","entailment"
"the actor actively teaching the course","the instructor of the resource","entailment"
"unique secondary identifier that determines which of the unqiue times this course was deployed this is","The average amount of time taken by an actor to complete the resource","unrelated"
